"Campaign","Ad group","Keyword","Match type","Status"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - EN","Jirian-Phase One prices","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Amara - EN","Amara compound","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - AR","هاسيندا ووترز اسعار","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - AR","بي إكس المرحلة الأولى اسعار","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - AR","كمبوند هاسيندا ووترز","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Amara - AR","كمبوند امارا","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - EN","Jirian-Phase One prices","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","The V Residence - Villagio - EN","The V Residence - Villagio compound","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","The V Residence - Villagio - EN","The V Residence - Villagio compound","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - AR","كمبوند لاجونز العاصمة","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","The V Residence - Villagio - AR","كمبوند ذا فى ريزيدنس - فيلاجيو","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - AR","لاجونز العاصمة اسعار","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - AR","كمبوند لاجونز العاصمة","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - AR","لاجونز العاصمة اسعار","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","The V Residence - Villagio - AR","كمبوند ذا فى ريزيدنس - فيلاجيو","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - EN","Modon Green River Tower prices","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - EN","Modon Green River Tower compound","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","VILLAGE DE LA CAPITALE - AR","كمبوند فيلاج دو لا كابيتال","Exact","Removed"
